id,email,password,role
1,sakshisonavane020@gmail.com,$2b$12$BWNhwGZugB7rp/CssuxtV.VTvN6Iz6ViC/gEowOEzm8uRLvMqdxyy,HR
3,sakshipawar363@gmail.com,$2b$12$mK.XsU3SycYznFRBGYxKCeSn3NUmKNfQq.HyNstURX4JL7QAB2Jxm,admin
4,hr@example.com,$2b$12$2dXQQfzV5l064XrO2/ZdOu.OKVu3yEGMAwSWn7X/J4S2lUYY7wwp2,HR
5,Priya.123@gmail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
6,mansi20@gmail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
7,shubh.123@gmail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
8,20sakshisonavane@gmail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
9,Priya123@gmail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2983,amit.sharma@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2984,priya.mehta@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2985,rohan.das@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2986,anjali.verma@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2987,rajesh.kumar@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2988,simran.kaur@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2989,arjun.reddy@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2990,neha.gupta@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2991,vikram.singh@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2992,divya.menon@email.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2993,daniel.green35@company.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2994,mason.anderson96@gmail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2995,grace.brown57@mail.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2996,henry.anderson19@yahoo.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2997,noah.miller65@yahoo.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2998,isabella.johnson97@yahoo.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
2999,benjamin.clark70@outlook.com,$2b$12$1S3VAucExLt7rBaAywD02O.kERZp5RSebDIioY/II4MgOgjPmNE5O,employee
